Metric,Value
address1,1 Churchill Place
city,London
zip,E14 5HP
country,United Kingdom
phone,44 20 7116 1000
website,https://home.barclays
industry,Banks - Diversified
industryKey,banks-diversified
industryDisp,Banks - Diversified
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"Barclays PLC provides various financial services in the United Kingdom, Europe, the Americas, Africa, the Middle East, and Asia. The company operates through Barclays UK; Barclays UK Corporate Bank; Barclays Private Bank and Wealth Management; Barclays Investment Bank; and Barclays US Consumer Bank segments. It offers financial services, such as retail banking, credit cards, wholesale banking, investment banking, wealth management, and investment management services, as well as lending products. In addition, the company engages in securities dealing activities and issuing of credit cards. The company was formerly known as Barclays Bank public limited company and changed its name to Barclays PLC in January 1985. Barclays PLC was founded in 1690 and is headquartered in London, the United Kingdom."
fullTimeEmployees,93000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Coimbatore Sundararajan Venkatakrishnan Ph.D.', 'age': 58, 'title': 'Group CEO & Executive Director', 'yearBorn': 1966, 'fiscalYear': 2024, 'totalPay': 5396000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Angela Anna Cross', 'age': 54, 'title': 'Group Finance Director & Executive Director', 'yearBorn': 1970, 'fiscalYear': 2024, 'totalPay': 3280000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alistair  Currie', 'title': 'Group COO & Chief Executive of Barclays Execution Services (BX)', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Susannah Hall Parden', 'title': 'Group Chief Accounting Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Reid  Marsh', 'title': 'Global Chairman of Investment Banking & Acting Head of European Banking', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Marco  Valla', 'title': 'Global Head of Technology, Media & Telecoms and Consumer & Retail Investment Banking', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Adam  Kelleher', 'title': 'Chief Data Scientist for Research', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Craig  Bright', 'age': 58, 'title': 'Chief Information Officer', 'yearBorn': 1966, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen Victor Shapiro', 'title': 'Group General Counsel', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew  Fitzwater', 'title': 'Group Chief Compliance Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,2
boardRisk,2
compensationRisk,3
shareHolderRightsRisk,1
overallRisk,1
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,332.35
open,330.8
dayLow,329.15
dayHigh,333.45
regularMarketPreviousClose,332.35
regularMarketOpen,330.8
regularMarketDayLow,329.15
regularMarketDayHigh,333.45
dividendRate,0.08
dividendYield,2.49
